Station ID,Station Name,Lat,Lon,Number of Trips
4357.01,Moffat St & Bushwick,40.68458,-73.90925,97
4362.04,Pacific St & Nevins St,40.685376,-73.983021,1
4362.04,Pacific St & Nevins St,40.6853761,-73.98302136,914
4366.01,Halsey St & Broadway,40.68565,-73.91564,472
4368.05,Monroe St & Bedford Ave,40.685144,-73.953809,7
4368.05,Monroe St & Bedford Ave,40.6851443,-73.95380904,1381
4371.01,Warren St & Smith St,40.680611,-73.99475825,1
4371.01,Warren St & Smith St,40.685424,-73.991278,6
4371.01,Warren St & Smith St,40.68542400997018,-73.99127773940563,1231
4374.01,Picnic Point,40.68512559515415,-74.02535319328308,123
4374.01,Picnic Point,40.685126,-74.025353,5
4377.04,Cambridge Pl & Gates Ave,40.68488,-73.96304,886
4380.08,Henry St & Degraw St,40.684751,-73.999173,4
4380.08,Henry St & Degraw St,40.6847514,-73.99917254,1251
4386.05,Fulton St & Clermont Ave,40.684157,-73.969223,14
4386.05,Fulton St & Clermont Ave,40.68415748,-73.96922273,1068
4392.04,Putnam Ave & Throop Ave,40.6851532,-73.94111,807
4395.07,Hanson Pl & Ashland Pl,40.685068,-73.977908,8
4395.07,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,3276
4399.03,Eldert St & Bushwick Ave,40.68652,-73.91321,209
4404.10,Bond St & Bergen St,40.6849668,-73.98620772,830
4404.10,Bond St & Bergen St,40.684967,-73.986208,1
4413.08,Warren St & Court St,40.686371,-73.99383324,938
4413.08,Warren St & Court St,40.686371,-73.993833,3
4419.03,Washington Ave & Greene Ave,40.68650065,-73.96563307,963
4419.03,Washington Ave & Greene Ave,40.686501,-73.965633,2
4422.04,Columbia St & Degraw St,40.6859296,-74.00242364,643
4422.04,Columbia St & Degraw St,40.68593,-74.002424,7
4422.05,Columbia St & Kane St,40.68763155,-74.0016256,622
4422.05,Columbia St & Kane St,40.687632,-74.001626,8
4425.02,Lewis Ave & Madison St,40.686312,-73.935775,1114
4428.02,Cumberland St & Lafayette Ave,40.687534,-73.972652,5
4428.02,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,1164
4432.10,Central Ave & Decatur St,40.6882,-73.90798,157
4434.06,Monroe St & Tompkins Ave,40.686203,-73.944694,1036
4437.01,3 Ave & Schermerhorn St,40.686832,-73.979677,8
4437.01,3 Ave & Schermerhorn St,40.68683208,-73.9796772,1313
4437.09,Nevins St & Schermerhorn St,40.687372,-73.981761,9
4437.09,Nevins St & Schermerhorn St,40.68737247650719,-73.98176059126854,840
4440.02,Yankee Ferry Terminal,40.68706579875912,-74.01675585121666,159
4440.02,Yankee Ferry Terminal,40.687066,-74.016756,27
4441.06,Broadway & Hancock St,40.68663,-73.9168,418
4446.01,Bergen St & Smith St,40.686744,-73.990632,4
4446.01,Bergen St & Smith St,40.6867443,-73.99063168,1616
4446.05,Dean St & Hoyt St,40.686444,-73.987591,2
4446.05,Dean St & Hoyt St,40.6864442,-73.98759104,1000
4452.01,Lafayette Ave & Classon Ave,40.689004,-73.960239,3
4452.01,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,1160
4452.03,Lexington Ave & Classon Ave,40.68676793,-73.95928168,1072
4452.03,Lexington Ave & Classon Ave,40.686768,-73.959282,5
4455.10,Congress St & Clinton St,40.688255,-73.995452,8
4455.10,Congress St & Clinton St,40.68825516598005,-73.99545192718506,1442
4455.11,Kane St & Clinton St,40.6861758,-73.99645295,950
4455.11,Kane St & Clinton St,40.686176,-73.996453,3
4461.01,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,1352
4461.01,Clermont Ave & Lafayette Ave,40.687645,-73.969689,7
4461.04,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,1546
4470.09,Lafayette Ave & Ft Greene Pl,40.687002,-73.97665,7
4470.09,Lafayette Ave & Ft Greene Pl,40.68700231292619,-73.97664964199066,1773
4474.01,Halsey St & Evergreen Ave,40.68858,-73.91227,150
4476.03,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,729
4476.03,Marcy Ave & Lafayette Ave,40.690082,-73.947915,2
4479.06,Bond St & Fulton St,40.68962188790333,-73.98304268717766,1213
4479.06,Bond St & Fulton St,40.689622,-73.983043,1
4479.08,Schermerhorn St & Bond St,40.688417,-73.984517,13
4479.08,Schermerhorn St & Bond St,40.688417427540834,-73.98451656103134,2362
4483.10,Broadway & Madison St,40.68822,-73.91966,576
4488.08,Court St & State St,40.6902375,-73.99203074,1712
4488.08,Court St & State St,40.690238,-73.992031,6
